name,artist,cover_url,album_url
The Best of Sonny Boy Williamson,Sonny Boy Williamson II,https://i.scdn.co/image/ab67616d0000b273fbf3e7ec6351f7c21b5559bf,https://open.spotify.com/album/61UHGSjWaVxXVaMu6Akp6N
Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),Willie Dixon,https://i.scdn.co/image/ab67616d0000b27300a4008af1d4630c52988367,https://open.spotify.com/album/5kOOtdwY3JI17osYqWEbnD
Johnny Winter,Johnny Winter,https://i.scdn.co/image/ab67616d0000b27305e6346e31e001003b24cb21,https://open.spotify.com/album/5RNAJslV8AaTq2gM5JJ9Ch
The Roots of Led Zeppelin,Various Artists,https://i.scdn.co/image/ab67616d0000b273bfb58202ab004f8301d2af27,https://open.spotify.com/album/2COvDjzoJTRf7Nliwcygz7
Bad News Is Coming,Luther Allison,https://i.scdn.co/image/ab67616d0000b2735d57a5f0229d2ffd56e8ae1f,https://open.spotify.com/album/7wTiVd5wU0aFVXxceOsvHT
Anthology,B.B. King,https://i.scdn.co/image/ab67616d0000b2738e7c609abcb90ae04db9b2a8,https://open.spotify.com/album/1LzYzoyDpRjM8o5GDha0yN
The Essential Magic Sam: The Cobra and Chief Recordings 1957-1961,Magic Sam,https://i.scdn.co/image/ab67616d0000b2732595674886b1fa5ed0b4e696,https://open.spotify.com/album/5pwsqaIx7UFtjXU3HiF1Nv
Someday,Otis Spann,https://i.scdn.co/image/ab67616d0000b273e7eeb5d7dd0d07e1770b8b2d,https://open.spotify.com/album/1E7OQUKXxK5qCX1Hy2O7j9
This Is Clarence Carter,Clarence Carter,https://i.scdn.co/image/ab67616d0000b273b50da8fd321b7e9ca14fdf6f,https://open.spotify.com/album/7IWPPkijopGVrwWXRbmQKx
Super Black Blues,T-Bone Walker,https://i.scdn.co/image/ab67616d0000b273fb111fb9a3f1089b944ff8e9,https://open.spotify.com/album/7ckZ6eL53qiORTynQpDXlu
Moanin' In The Moonlight,Howlin' Wolf,https://i.scdn.co/image/ab67616d0000b273ef72f6fe9a166119e75670f9,https://open.spotify.com/album/7yf03jHwu4ony0nlnNOIPS
Ball And Chain,Big Mama Thornton,https://i.scdn.co/image/ab67616d0000b2737133acd6da31062559cc8921,https://open.spotify.com/album/2AOVcou4z2NUEEJ8p36eje
Texas Flood (Legacy Edition),Stevie Ray Vaughan,https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,https://open.spotify.com/album/1AL5oXZRtTc8PyhcTwg4xQ
The Best Of Louis Jordan,Louis Jordan,https://i.scdn.co/image/ab67616d0000b27327cc22c2a678d369d1364d02,https://open.spotify.com/album/5fvGQvU2Hr99ABkrykFD7u
Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),Willie Dixon,https://i.scdn.co/image/ab67616d0000b27300a4008af1d4630c52988367,https://open.spotify.com/album/5kOOtdwY3JI17osYqWEbnD
The Best Of Duke-Peacock Blues,Various Artists,https://i.scdn.co/image/ab67616d0000b273301cdd22ab15499a027e9a77,https://open.spotify.com/album/5h1La90cicQpR7bSjnbq3Q
The Essential Little Walter,Little Walter,https://i.scdn.co/image/ab67616d0000b27320f3de1822791b066e563a2d,https://open.spotify.com/album/2Y2oBBKe7dnNGJrf6HAGBc
Texas Flood (Legacy Edition),Stevie Ray Vaughan,https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340,https://open.spotify.com/album/1AL5oXZRtTc8PyhcTwg4xQ
Fast Fingers,Jimmy Dawkins,https://i.scdn.co/image/ab67616d0000b273b59f65b78a1b03e204ade7f2,https://open.spotify.com/album/6lcVXsUyWa9WvgBMTuLz5l
T-Bone Blues,T-Bone Walker,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,https://open.spotify.com/album/1YPBXkcPa4KYio6Ziyp7d3
His Best 1956-1964 - The Chess 50th Anniversary Collection,Muddy Waters,https://i.scdn.co/image/ab67616d0000b2730f202f2eedb8a9abf470638e,https://open.spotify.com/album/21Lv19NsmMPpwUL58JCP57
Koko Taylor,Koko Taylor,https://i.scdn.co/image/ab67616d0000b27324726d9f0e2312507fbc1735,https://open.spotify.com/album/4kUcacQmakJzzQ0UppaBTy
Johnny Winter,Johnny Winter,https://i.scdn.co/image/ab67616d0000b27305e6346e31e001003b24cb21,https://open.spotify.com/album/5RNAJslV8AaTq2gM5JJ9Ch
The Alligator Records Years,Luther Allison,https://i.scdn.co/image/ab67616d0000b273c5894504e86ff34b73b5e3bd,https://open.spotify.com/album/6WoAPqWPiXFo21VxGybHvJ
The Best of Sonny Boy Williamson,Sonny Boy Williamson II,https://i.scdn.co/image/ab67616d0000b273fbf3e7ec6351f7c21b5559bf,https://open.spotify.com/album/61UHGSjWaVxXVaMu6Akp6N
The Complete Chess Masters,Lowell Fulson,https://i.scdn.co/image/ab67616d0000b273cbabe513e30d2b73714622fe,https://open.spotify.com/album/1oKzIjaJ00OKzVxwjSfCXl
Down And Out Blues,Sonny Boy Williamson II,https://i.scdn.co/image/ab67616d0000b2731f364dcdf7589448fdf2bdb2,https://open.spotify.com/album/6uhJ93exe9enyJnV3jgyLO
Crawfish Fiesta (Remastered with Bonus Track),Professor Longhair,https://i.scdn.co/image/ab67616d0000b273912fee6f3dd1f3cedcf9e483,https://open.spotify.com/album/06pOxWHDhPhmyVGkWRqw4T
Essential Blues,Otis Spann,https://i.scdn.co/image/ab67616d0000b2733ae2c11137819edffd7f47b6,https://open.spotify.com/album/60I6hB9DA4FnZwHfhEKL3Z
Vintage Collections,Tennessee Ernie Ford,https://i.scdn.co/image/ab67616d0000b2738bbea9fbdb68b329c1228e25,https://open.spotify.com/album/5qWqMyXJ9uOCl6vEIVKqBD
T-Bone Blues,T-Bone Walker,https://i.scdn.co/image/ab67616d0000b2737a5bc7399749f64fd13ac802,https://open.spotify.com/album/1YPBXkcPa4KYio6Ziyp7d3
Tell Mama,Etta James,https://i.scdn.co/image/ab67616d0000b2737649604d1b27be1c78c466e9,https://open.spotify.com/album/4ReJ59T4YxC62WkfyVTWpr
Alligator Records 50 Years Of Genuine Houserockin' Music,Various Artists,https://i.scdn.co/image/ab67616d0000b27358ec8488fe62becd1d1c47d8,https://open.spotify.com/album/30aecilbP86mA0dVdWcFp0
Dreamer,"Bobby ""Blue"" Bland",https://i.scdn.co/image/ab67616d0000b273229e87b6d1da512c14164cc0,https://open.spotify.com/album/5OkHt7JZ6HSkJH359y2H31
Chicago Bound,Jimmy Rogers,https://i.scdn.co/image/ab67616d0000b273ab76e532fa011e617a8f29fe,https://open.spotify.com/album/2FDltONvqb5rhPjNSWMupo
Experience Hendrix: The Best Of Jimi Hendrix,Jimi Hendrix,https://i.scdn.co/image/ab67616d0000b2737bfdcc5707e04f9418d2b69d,https://open.spotify.com/album/2vfiwvlxOBNBohRXfvlMtY
The Roots of Led Zeppelin,Various Artists,https://i.scdn.co/image/ab67616d0000b273bfb58202ab004f8301d2af27,https://open.spotify.com/album/2COvDjzoJTRf7Nliwcygz7
"Muddy ""Mississippi"" Waters Live (Legacy Edition)",Muddy Waters,https://i.scdn.co/image/ab67616d0000b2733a7f8c024f61a135eae3f219,https://open.spotify.com/album/7Dy6z1nWHNIF2IKCARP9QN
Shake Your Money Maker: The Best Of The Fire Sessions,Elmore James,https://i.scdn.co/image/ab67616d0000b2739edadae1fa36bbcfe53430fb,https://open.spotify.com/album/5f4i4c03PdC3yHI63Ccauu
His Best,Sonny Boy Williamson II,https://i.scdn.co/image/ab67616d0000b273b48699b4880e280f8af0a856,https://open.spotify.com/album/3zDQRzZI2ZbCTGU7pYABj5
Ground-Breaking Blues,Various Artists,https://i.scdn.co/image/ab67616d0000b2737928ef5151cb7a0a877f3475,https://open.spotify.com/album/6vPI6PrQLfTpY15ohkHKqs
