name,artist,cover_url,album_url,album_path
Around the Fur,Deftones,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6,https://open.spotify.com/album/7o4UsmV37Sg5It2Eb7vHzu,metal/Around-the-Fur-Deftones.jpg
Good F**King Music,Solence,https://i.scdn.co/image/ab67616d0000b27387acfedbb55089f75ea5e64b,https://open.spotify.com/album/2L2WGYRsX6dMazAmpJZneU,metal/Good-F**King-Music-Solence.jpg
Significant Other,Limp-Bizkit,https://i.scdn.co/image/ab67616d0000b2732a3ada146796045b348f3179,https://open.spotify.com/album/0IDsKB7FTBX5QvxNekrVgI,metal/Significant-Other-Limp-Bizkit.jpg
The Concrete Confessional,Hatebreed,https://i.scdn.co/image/ab67616d0000b27317e6898bdc4b61bd22bbae09,https://open.spotify.com/album/300egwhkQSsKEFLbZgFa36,metal/The-Concrete-Confessional-Hatebreed.jpg
Leviathan,Mastodon,https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd,https://open.spotify.com/album/6khFoLWnJZDQvZ7Pijym3b,metal/Leviathan-Mastodon.jpg
Roots,Sepultura,https://i.scdn.co/image/ab67616d0000b2730bd5e7cce9765c2ef519424e,https://open.spotify.com/album/5JjnPCfpp6redrkKpXZAs8,metal/Roots-Sepultura.jpg
Lights...Camera...Revolution,Suicidal-Tendencies,https://i.scdn.co/image/ab67616d0000b273d1886d236549fdbf0309b5ab,https://open.spotify.com/album/414jOqUfrq3k2QlAddNXfT,metal/Lights...Camera...Revolution-Suicidal-Tendencies.jpg
L.D. 50,Mudvayne,https://i.scdn.co/image/ab67616d0000b273e8278a8536c931fe01db8701,https://open.spotify.com/album/1PxA0y3aRMejJGb0wJH9gS,metal/L.D.-50-Mudvayne.jpg
La Sexorcisto: Devil Music Volume 1,White-Zombie,https://i.scdn.co/image/ab67616d0000b273a9bc1aa7e402c78ac5f2e61c,https://open.spotify.com/album/0hSRCjd8f3eGCEdeXD0hoL,metal/La-Sexorcisto:-Devil-Music-Volume-1-White-Zombie.jpg
As Daylight Dies (Special Edition),Killswitch-Engage,https://i.scdn.co/image/ab67616d0000b273cc5bb1a3f809896baf67dba4,https://open.spotify.com/album/6iJEtgHTEbVlSS5isIS71z,metal/As-Daylight-Dies-(Special-Edition)-Killswitch-Engage.jpg
Are You Dead Yet?,Children-Of-Bodom,https://i.scdn.co/image/ab67616d0000b27327c8e79e48a7b9b7c9ed6ba0,https://open.spotify.com/album/4JtmC1dly1OaggJbhdYAyZ,metal/Are-You-Dead-Yet?-Children-Of-Bodom.jpg
Clayman (Reissue 2014),In-Flames,https://i.scdn.co/image/ab67616d0000b273955536b17812ef9da826562b,https://open.spotify.com/album/1aK0ZfM3mY983J4cKoTHfy,metal/Clayman-(Reissue-2014)-In-Flames.jpg
Burn My Eyes,Machine-Head,https://i.scdn.co/image/ab67616d0000b2737eefd1a87710bf84a7688a2c,https://open.spotify.com/album/4S4WHsBRNEIha796lnU8NJ,metal/Burn-My-Eyes-Machine-Head.jpg
Spreading The Disease,Anthrax,https://i.scdn.co/image/ab67616d0000b2735b8c3c95fc82a1643ada6766,https://open.spotify.com/album/0qEFMrunmeRHqzI9xAnu9L,metal/Spreading-The-Disease-Anthrax.jpg
Cleansing,Prong,https://i.scdn.co/image/ab67616d0000b27397682fc3fb027754c58986dc,https://open.spotify.com/album/1RmsgRJnBFyRMAVl1NW9pO,metal/Cleansing-Prong.jpg
Demanufacture [Special Edition],Fear-Factory,https://i.scdn.co/image/ab67616d0000b2739f588bbc502030c9dbfc7b1b,https://open.spotify.com/album/6GPHWrMQG5Ns8O3aQKMro2,metal/Demanufacture-[Special-Edition]-Fear-Factory.jpg
Rock or Bust,AC-DC,https://i.scdn.co/image/ab67616d0000b273f5ea32b7c7b4ee3a4583d5df,https://open.spotify.com/album/6OwvO40ahugJE5PH4TjqTg,metal/Rock-or-Bust-AC-DC.jpg
Ascendancy (Special Edition),Trivium,https://i.scdn.co/image/ab67616d0000b273ca1c6c978dcd0e39edb026f5,https://open.spotify.com/album/21mOhkOtrPVySn4D2SbOAF,metal/Ascendancy-(Special-Edition)-Trivium.jpg
Clawfinger (Remastered version),Clawfinger,https://i.scdn.co/image/ab67616d0000b27347e014fd0fb8799249d42902,https://open.spotify.com/album/5EA1276qleBpN5O80kM0mT,metal/Clawfinger-(Remastered-version)-Clawfinger.jpg
Stay Hungry,Twisted-Sister,https://i.scdn.co/image/ab67616d0000b2733469ef94acfa666fde83dec5,https://open.spotify.com/album/0dzqapIToiOhULGvzDKpXm,metal/Stay-Hungry-Twisted-Sister.jpg
Nola,DOWN,https://i.scdn.co/image/ab67616d0000b273bd53947ce705d95e0fa3852d,https://open.spotify.com/album/04BvRPJwuDeuJ3DhbAw9Wg,metal/Nola-DOWN.jpg
Bismarck,Sabaton,https://i.scdn.co/image/ab67616d0000b2734f41a332a8deb1ff7b9ebafe,https://open.spotify.com/album/3RIq2tHWbtfYMZmd6tPTwY,metal/Bismarck-Sabaton.jpg
The Silent Force,Within-Temptation,https://i.scdn.co/image/ab67616d0000b27385fc8567babaf945bda677c3,https://open.spotify.com/album/7Mqb9JDLwwr4kLuNXFnuJZ,metal/The-Silent-Force-Within-Temptation.jpg
Horizons (Deluxe Edition),Parkway-Drive,https://i.scdn.co/image/ab67616d0000b273248c3d99d296604ecd4f2c89,https://open.spotify.com/album/4GnybptVxP8FoxVfnSjMqM,metal/Horizons-(Deluxe-Edition)-Parkway-Drive.jpg
The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser,Rob-Zombie,https://i.scdn.co/image/ab67616d0000b2734de9478913a6736b3b2d8ea8,https://open.spotify.com/album/4cwVkh8oYGwLGeVM0Jl35K,metal/The-Electric-Warlock-Acid-Witch-Satanic-Orgy-Celebration-Dispenser-Rob-Zombie.jpg
King Of Everything,Jinjer,https://i.scdn.co/image/ab67616d0000b273fd20de2cce4779a457b8f636,https://open.spotify.com/album/5tPsMHA3GY2q0HtcjNqf3p,metal/King-Of-Everything-Jinjer.jpg
October Rust (Special Edition),Type-O-Negative,https://i.scdn.co/image/ab67616d0000b273704dd95c3ea01a719da5d5d4,https://open.spotify.com/album/6BkeUWI72Lssc077AxqQek,metal/October-Rust-(Special-Edition)-Type-O-Negative.jpg
Comalies,Lacuna-Coil,https://i.scdn.co/image/ab67616d0000b27340cd02504f36bfd9f88b6d96,https://open.spotify.com/album/1zFvNbQjRGiCalBnPzUEyN,metal/Comalies-Lacuna-Coil.jpg
The Phantom Agony (Expanded Edition),Epica,https://i.scdn.co/image/ab67616d0000b273fe1e925e09181946c041d0ec,https://open.spotify.com/album/2TIErYUfgCJuDpSqsp3wvm,metal/The-Phantom-Agony-(Expanded-Edition)-Epica.jpg
Scars,Soil,https://i.scdn.co/image/ab67616d0000b2735458430a8be76e89973d3150,https://open.spotify.com/album/2h9pGOK3WpnKM6sJjILl5E,metal/Scars-Soil.jpg
Wisconsin Death Trip,Static-X,https://i.scdn.co/image/ab67616d0000b2730099efc7034c941135448e94,https://open.spotify.com/album/2WRLwr5MIIXr9gAWOOQ6J5,metal/Wisconsin-Death-Trip-Static-X.jpg
Once,Nightwish,https://i.scdn.co/image/ab67616d0000b273eb56285e5977b1c57a3484a9,https://open.spotify.com/album/2vaeoAzATVgE2npjBCnH5x,metal/Once-Nightwish.jpg
