#1s ... and then some,brooks-&-dunn,https://i.scdn.co/image/ab67616d0000b273941001e5ce6bc1272466de29,https://open.spotify.com/album/1zxm9jy3bsg12kxgwftbro,country/#1s-...-and-then-some-brooks-&-dunn.jpg
"10,000 hours (with justin bieber)",dan-+-shay,https://i.scdn.co/image/ab67616d0000b27386953b1cbaa29e477db0b479,https://open.spotify.com/album/4ow6xjwn49gpwz7ihpozwy,"country/10,000-hours-(with-justin-bieber)-dan-+-shay.jpg"
"10,000 towns",eli-young-band,https://i.scdn.co/image/ab67616d0000b27305774845c4f4fb134d661550,https://open.spotify.com/album/6jxjkuugj3akpu9gh9rjs6,"country/10,000-towns-eli-young-band.jpg"
29,carly-pearce,https://i.scdn.co/image/ab67616d0000b273feb626185c7546445eaf6bb2,https://open.spotify.com/album/4d9k0js5gulote0jrqncyn,country/29-carly-pearce.jpg
34 number ones,alan-jackson,https://i.scdn.co/image/ab67616d0000b2739921515d1f6a08b5d4907014,https://open.spotify.com/album/26w8j2skcxa80bwq6g8ctn,country/34-number-ones-alan-jackson.jpg
35 biggest hits,tim-mcgraw,https://i.scdn.co/image/ab67616d0000b273a7e4cf2467574833e1f0fda5,https://open.spotify.com/album/7pul7rvuylqrykehizovsg,country/35-biggest-hits-tim-mcgraw.jpg
7 summers,morgan-wallen,https://i.scdn.co/image/ab67616d0000b273b00fc73517a7d56a85601e4a,https://open.spotify.com/album/5k2ooaiq2nrzjp5s5ghaso,country/7-summers-morgan-wallen.jpg
747,lady-a,https://i.scdn.co/image/ab67616d0000b273228954c1b2b3ee5e31031e68,https://open.spotify.com/album/1jhnrou038cfcc0rzztdz8,country/747-lady-a.jpg
9,jason-aldean,https://i.scdn.co/image/ab67616d0000b273472f53f91497f83012d15b84,https://open.spotify.com/album/2f0dzdu6qbwtzqsln7s1s5,country/9-jason-aldean.jpg
a different day,cody-johnson,https://i.scdn.co/image/ab67616d0000b27324e784b1db997c872898f69e,https://open.spotify.com/album/3kzizxktyfxykohmlu1r3k,country/a-different-day-cody-johnson.jpg
a hundred miles or more: a collection,alison-krauss,https://i.scdn.co/image/ab67616d0000b2730343574603e6094988bfedda,https://open.spotify.com/album/2i3fr0qxgyr57mfwnpcmkp,country/a-hundred-miles-or-more:-a-collection-alison-krauss.jpg
a place in the sun,tim-mcgraw,https://i.scdn.co/image/ab67616d0000b273674c7a81aa925a9d6071f60c,https://open.spotify.com/album/2ekjjknrgd5deih2x9hljd,country/a-place-in-the-sun-tim-mcgraw.jpg
a rock,hardy,https://i.scdn.co/image/ab67616d0000b273941d3c46adb0d80b18596606,https://open.spotify.com/album/6j6unk4vsflxqvwwxwvqyq,country/a-rock-hardy.jpg
a song to remember,a-thousand-horses,https://i.scdn.co/image/ab67616d0000b27359916e8c02386a713e3f42b4,https://open.spotify.com/album/4kgkwe4v71hwoh7hcfur79,country/a-song-to-remember-a-thousand-horses.jpg
a.m.,chris-young,https://i.scdn.co/image/ab67616d0000b2735dd009ae4847b61c93571948,https://open.spotify.com/album/3cylh6iugpjesziufnjfd3,country/a.m.-chris-young.jpg
abby,travis-denning,https://i.scdn.co/image/ab67616d0000b273a9f0ae73408f2e261adecae4,https://open.spotify.com/album/079q8xs3lou0h3gdtpbcnb,country/abby-travis-denning.jpg
after a few,travis-denning,https://i.scdn.co/image/ab67616d0000b27357d2da97d9db68e666377956,https://open.spotify.com/album/5z6uus0n3oz7i2bdledbwl,country/after-a-few-travis-denning.jpg
ain't nothin' to it,cody-johnson,https://i.scdn.co/image/ab67616d0000b273606c346e7888593b3b161c58,https://open.spotify.com/album/62ayom0k3j1rbe4upc64ob,country/ain't-nothin'-to-it-cody-johnson.jpg
all about tonight,blake-shelton,https://i.scdn.co/image/ab67616d0000b27393bfde57f6b20ea985a183a8,https://open.spotify.com/album/53hfgqxcbw6sxkfpretdtm,country/all-about-tonight-blake-shelton.jpg
all eyes on us,jon-langston,https://i.scdn.co/image/ab67616d0000b2737a1a552c1fb68f2098eabe0c,https://open.spotify.com/album/2nqh2c3oacrsli5cjar6jj,country/all-eyes-on-us-jon-langston.jpg
all night,brothers-osborne,https://i.scdn.co/image/ab67616d0000b273a8c9f59905946acbfd280b60,https://open.spotify.com/album/52uifgov32jvlyzdwf0pmk,country/all-night-brothers-osborne.jpg
all of it,cole-swindell,https://i.scdn.co/image/ab67616d0000b2735a6952e2a6f47654f1f249bf,https://open.spotify.com/album/2sxbuclrocg8wzpxedobmm,country/all-of-it-cole-swindell.jpg
all of me,pierce-avenue,https://i.scdn.co/image/ab67616d0000b27342ac36b7de4144570611c53f,https://open.spotify.com/album/7hbrnhsbgc5nbnjgrdv6s1,country/all-of-me-pierce-avenue.jpg
"all you, all night, all summer",adam-hambrick,https://i.scdn.co/image/ab67616d0000b2730dc33eb7b1b6e5fa9445c827,https://open.spotify.com/album/7jacdpvbj0yfnfnnesqivo,"country/all-you,-all-night,-all-summer-adam-hambrick.jpg"
