"""wish""",woo!ah!,https://i.scdn.co/image/ab67616d0000b273fc7a619217e0717259d970ae,https://open.spotify.com/album/0d6cvng4c3o2yxyf7iqnoa,"kpop/""wish""-woo!ah!.jpg"
#tb,015b,https://i.scdn.co/image/ab67616d0000b273647bb1bcdc113c15a8980686,https://open.spotify.com/album/5nrxaux3xt2ys4u07magep,kpop/#tb-015b.jpg
01,urban-zakapa,https://i.scdn.co/image/ab67616d0000b273014fa950326773be715e087e,https://open.spotify.com/album/7gufq9ulk9ebbsz8u52xtp,kpop/01-urban-zakapa.jpg
"0x1=lovesong (i know i love you) feat. ph-1, woodie gochild, seori",tomorrow-x-together,https://i.scdn.co/image/ab67616d0000b2733aeb5d85ca3372912e207516,https://open.spotify.com/album/2g6erzetrukribc8qnjae1,"kpop/0x1=lovesong-(i-know-i-love-you)-feat.-ph-1,-woodie-gochild,-seori-tomorrow-x-together.jpg"
1st mini album 'vamos',omega-x,https://i.scdn.co/image/ab67616d0000b2731761b090dccccd27e0d27b24,https://open.spotify.com/album/1ruimyrqc6rbohtz83wp7a,kpop/1st-mini-album-'vamos'-omega-x.jpg
2 different tears,wonder-girls,https://i.scdn.co/image/ab67616d0000b27357b703060f763bf2d0a140d1,https://open.spotify.com/album/1tqeubdusoghgwo0cp4qym,kpop/2-different-tears-wonder-girls.jpg
"2009, year of us - the third mini album",shinee,https://i.scdn.co/image/ab67616d0000b273a7fcbfdd783b559de31d181b,https://open.spotify.com/album/5ah7ubaxp7ojncvimoezvc,"kpop/2009,-year-of-us---the-third-mini-album-shinee.jpg"
242424,kodi-green,https://i.scdn.co/image/ab67616d0000b27361a151e5f80d413e5152634e,https://open.spotify.com/album/5b1wroovm8iq9wfonim3s6,kpop/242424-kodi-green.jpg
24℃,leehi,https://i.scdn.co/image/ab67616d0000b27373b15cb8de2ced2292e6c3aa,https://open.spotify.com/album/47go1pszbe4dds9ipfihti,kpop/24℃-leehi.jpg
25th anniversary first single,lee-ji-hoon,https://i.scdn.co/image/ab67616d0000b27340c54f1ca27f0244ee32e4ae,https://open.spotify.com/album/6mupuipdkgbvgezmlotjaa,kpop/25th-anniversary-first-single-lee-ji-hoon.jpg
2ne1 2nd mini album,2ne1,https://i.scdn.co/image/ab67616d0000b2734858cde059767cac1df622ee,https://open.spotify.com/album/6syjdyefnwokegnrbqt2qq,kpop/2ne1-2nd-mini-album-2ne1.jpg
30,lee-aram,https://i.scdn.co/image/ab67616d0000b273db3ffd911839377cf8ad6edc,https://open.spotify.com/album/4czbvsxwajr7vs8mghpcbp,kpop/30-lee-aram.jpg
8%,hail,https://i.scdn.co/image/ab67616d0000b2730f81d51e7f17e92383fbb117,https://open.spotify.com/album/4a2zt7aytnai3tmdskh3tb,kpop/8%-hail.jpg
9 way ticket,fromis_9,https://i.scdn.co/image/ab67616d0000b2731b71401437cd2b0e6577e813,https://open.spotify.com/album/5dpggk2zbmjyqtauylolvw,kpop/9-way-ticket-fromis_9.jpg
9ucci (feat. doge),yumdda,https://i.scdn.co/image/ab67616d0000b2732deb0fa449dca1b842acda28,https://open.spotify.com/album/1ypyum4d4al16q8lls06ww,kpop/9ucci-(feat.-doge)-yumdda.jpg
