album_id,album_name,cover_location,artist,track_id,track_name,popularity,explicit,danceability,energy,key,loudness,modality,valence,speechiness,genre
3Jdjyvn35LXAi6r7cIHx4U,Getting-Good,image-data/country/Getting-Good-Lauren-Alaina.jpg,Lauren-Alaina,6ZU30kIHamg5oiQm4gQQ3A,Getting-Good,59,False,0.499,0.643,11,-5.416,1,0.469,0.0354,country
1zQYzpyIUiSiAt0pZZWbzI,Wildflower-(Live),image-data/country/Wildflower-(Live)-Benjamin-Beiler.jpg,Benjamin-Beiler,6cR5ydHMpNI7fEJSSTw0Qs,Wildflower,22,False,0.535,0.857,0,-3.7910000000000004,1,0.613,0.0447,country
4CnCTgbmfB0MchA9N8wmI1,This-Swag,image-data/edm/This-Swag-Markus-P.jpg,Markus-P,5jsRPNn2KesvhRDryYXtAB,Lowkey-Energy,38,False,0.541,0.337,0,-19.555999999999997,0,0.772,0.0392,edm
0p0W4RXcnc59jgatcdZozO,MIA-(feat.-Drake),image-data/latin/MIA-(feat.-Drake)-Bad-Bunny.jpg,Bad-Bunny,116H0KvKr2Zl4RPuVBruDO,MIA-(feat.-Drake),78,False,0.8170000000000001,0.539,6,-6.349,0,0.158,0.0621,latin
4ovUdHrbzwtbtKMyU997Hl,My-Kind-Of-Livin',image-data/country/My-Kind-Of-Livin'-Craig-Morgan.jpg,Craig-Morgan,4etE2X6t7GmyiuYLIdI8H5,Redneck-Yacht-Club,68,False,0.49,0.8170000000000001,8,-5.405,1,0.8079999999999999,0.0355,country
2EUichHm4790RyjDmtlG5u,Pure-Juice,image-data/edm/Pure-Juice-Eratox.jpg,Eratox,0Hv600rdbWTdLAxevISVYo,Too-Well-Outside-the-Box,36,False,0.7859999999999999,0.359,10,-15.454,0,0.97,0.0775,edm
2X7iTmP185SzEeQyQ2tDtM,Stanley's-Disco,image-data/edm/Stanley's-Disco-George-Feely.jpg,George-Feely,0oYEtzXK2sftKizIpiTp8O,Stanley's-Disco,17,False,0.74,0.523,8,-9.644,1,0.762,0.0566,edm
5vQaqB1ZfaOW6BSEGuQ8HC,Ur-Best-Friend,image-data/r-n-b/Ur-Best-Friend-Kiana-Ledé.jpg,Kiana-Ledé,1gsYCXkisSnnjBb3qwYZoc,Ur-Best-Friend-(with-Kehlani),68,False,0.565,0.531,2,-6.09,1,0.237,0.19699999999999998,r-n-b
6GphKx2QAPRoVGWE9D7ou8,Pet-Sounds-(Original-Mono-&-Stereo-Mix-Versions),image-data/rock/Pet-Sounds-(Original-Mono-&-Stereo-Mix-Versions)-The-Beach-Boys.jpg,The-Beach-Boys,2Gy7qnDwt8Z3MNxqat4CsK,Wouldn't-It-Be-Nice---Stereo---Remastered,72,False,0.392,0.629,5,-7.056,1,0.72,0.0335,rock
3HJiLDJgWA9Z0MvCxlzHYQ,What-Do-You-Think-About-the-Car?,image-data/indie/What-Do-You-Think-About-the-Car?-Declan-McKenna.jpg,Declan-McKenna,4sNG6zQBmtq7M8aeeKJRMQ,Brazil,72,False,0.687,0.617,4,-5.212999999999999,1,0.665,0.0287,indie
