(we make) sweden rock,hammerfall,https://i.scdn.co/image/ab67616d0000b273521cc4c62018cd0441777fe4,https://open.spotify.com/album/1k8eg8tvfm6nbedegtuopg,metal/(we-make)-sweden-rock-hammerfall.jpg
.5: the gray chapter,slipknot,https://i.scdn.co/image/ab67616d0000b27306e3a56f02aeff58d3a47a10,https://open.spotify.com/album/3nyxmohqinxnhywyhvuqvf,metal/.5:-the-gray-chapter-slipknot.jpg
/with_errors,norma-jean,https://i.scdn.co/image/ab67616d0000b27342a80a21ddfb597d3e11cd53,https://open.spotify.com/album/6rsgihp9ykjzih9qsbjvul,metal/-with_errors-norma-jean.jpg
1000hp,godsmack,https://i.scdn.co/image/ab67616d0000b2730b5c1cd424b83d33d424a4ae,https://open.spotify.com/album/43crhbvr5o6z71elsvq0jg,metal/1000hp-godsmack.jpg
13,black-sabbath,https://i.scdn.co/image/ab67616d0000b273a7e7bfdfd15d41435f17ba64,https://open.spotify.com/album/5wxl9yjbnd4giqwc9mzooq,metal/13-black-sabbath.jpg
20/20,crown-the-empire,https://i.scdn.co/image/ab67616d0000b273b84ac1ffd618a17a4ffafa73,https://open.spotify.com/album/170yu6ccohvyiolhgio0yl,metal/20-20-crown-the-empire.jpg
5x3,upon-a-burning-body,https://i.scdn.co/image/ab67616d0000b2734792b85dca7c839ecb10acd5,https://open.spotify.com/album/7n0w5nxpwayeovkmbrthda,metal/5x3-upon-a-burning-body.jpg
666 - world divided,kreator,https://i.scdn.co/image/ab67616d0000b273cb5b18a68644ae73353c5f3b,https://open.spotify.com/album/0hca6eoutwiit26t5dnpey,metal/666---world-divided-kreator.jpg
a new kind of horror,anaal-nathrakh,https://i.scdn.co/image/ab67616d0000b2732062374a30e7d9604293d659,https://open.spotify.com/album/7ml6j0j6kw0y3x6n6qvtta,metal/a-new-kind-of-horror-anaal-nathrakh.jpg
a perfect day to die,onslaught,https://i.scdn.co/image/ab67616d0000b27307cf310d8e0c50dd522e5c6b,https://open.spotify.com/album/3rotqyttpdeq5blw9ylscd,metal/a-perfect-day-to-die-onslaught.jpg
a statue of the king,avatar,https://i.scdn.co/image/ab67616d0000b273d1299607e353053973dcce1e,https://open.spotify.com/album/5nn6nrlekd5bezqflu1bp7,metal/a-statue-of-the-king-avatar.jpg
abyss,unleash-the-archers,https://i.scdn.co/image/ab67616d0000b273338d49995699b644372426ff,https://open.spotify.com/album/7fgdn0xnj5efxuo0falbtn,metal/abyss-unleash-the-archers.jpg
ace of spades (expanded edition),motörhead,https://i.scdn.co/image/ab67616d0000b273bb7d33186e4a26421c6a77ae,https://open.spotify.com/album/3rxf05aux0qtrn533kjc91,metal/ace-of-spades-(expanded-edition)-motörhead.jpg
adore,numenorean,https://i.scdn.co/image/ab67616d0000b273959b4d1e0ea5955c1abd7551,https://open.spotify.com/album/4yf0hzrhpczvrteedmlcul,metal/adore-numenorean.jpg
afterglow,rising-insane,https://i.scdn.co/image/ab67616d0000b27329d07bf9369e9fa62e2b5b6a,https://open.spotify.com/album/2l8wawsth785zqmda3c8qj,metal/afterglow-rising-insane.jpg
aggression continuum,fear-factory,https://i.scdn.co/image/ab67616d0000b2731df43fb97b76d1fe58b10df7,https://open.spotify.com/album/3y1dh8gi1unvdoi4gi0jxk,metal/aggression-continuum-fear-factory.jpg
alien,northlane,https://i.scdn.co/image/ab67616d0000b273035f1b8eecca44a114356252,https://open.spotify.com/album/29q56s9hfbrpkumsfkefzx,metal/alien-northlane.jpg
all for the kingdom,grave-digger,https://i.scdn.co/image/ab67616d0000b2731fbc7c8bcfaf88531f5b8a3a,https://open.spotify.com/album/7bobbjrrrgnvvrrcphmw4j,metal/all-for-the-kingdom-grave-digger.jpg
all hope is gone (10th anniversary),slipknot,https://i.scdn.co/image/ab67616d0000b273e7fbc0883149094912559f2c,https://open.spotify.com/album/2isxjem0d4chvu2idnvuqk,metal/all-hope-is-gone-(10th-anniversary)-slipknot.jpg
all out life,slipknot,https://i.scdn.co/image/ab67616d0000b273120ad9d866b0575b2afeeafb,https://open.spotify.com/album/65qfxybggqggvacw0ynmxa,metal/all-out-life-slipknot.jpg
all pride no pain,upon-a-burning-body,https://i.scdn.co/image/ab67616d0000b27369dd116fcf2f091eb4380859,https://open.spotify.com/album/1bvvhpjzpihvfc98htot9z,metal/all-pride-no-pain-upon-a-burning-body.jpg
along came the devil,primal-fear,https://i.scdn.co/image/ab67616d0000b273577c6d57d6172cf62ee72e9f,https://open.spotify.com/album/17xga2thnpbylarrbahaiw,metal/along-came-the-devil-primal-fear.jpg
