"""let's rock""",the-black-keys,https://i.scdn.co/image/ab67616d0000b27326ff57bc134aa594b08bf721,https://open.spotify.com/album/0aa9ryw8pev9g7tvij9dkg,"rock/""let's-rock""-the-black-keys.jpg"
(pronounced 'leh-'nérd 'skin-'nérd) [expanded edition],lynyrd-skynyrd,https://i.scdn.co/image/ab67616d0000b2731f43eaa3c2a3188eb28dba82,https://open.spotify.com/album/57gmeh9tkmc1tgs4rcdvhn,rock/(pronounced-'leh-'nérd-'skin-'nérd)-[expanded-edition]-lynyrd-skynyrd.jpg
(what's the story) morning glory,oasis,https://i.scdn.co/image/ab67616d0000b27300a678b26ee5918f13202a68,https://open.spotify.com/album/1fb977nqeiar8jel6o2zn3,rock/(what's-the-story)-morning-glory-oasis.jpg
(what's the story) morning glory? (deluxe edition) [remastered],oasis,https://i.scdn.co/image/ab67616d0000b2731f2be6f8ed797aeb11973194,https://open.spotify.com/album/6ozp33pi3p9adddb6zl3xq,rock/(what's-the-story)-morning-glory?-(deluxe-edition)-[remastered]-oasis.jpg
(what's the story) morning glory? [remastered],oasis,https://i.scdn.co/image/ab67616d0000b27385e5dcc05cc216a10f141480,https://open.spotify.com/album/1vw1mfnstajuygaotpkdck,rock/(what's-the-story)-morning-glory?-[remastered]-oasis.jpg
.getawayfortheweekend.,dead-poet-society,https://i.scdn.co/image/ab67616d0000b273d6d1706ce469749028db3af5,https://open.spotify.com/album/46mmja473fejc3459xfeui,rock/.getawayfortheweekend.-dead-poet-society.jpg
1 (remastered),the-beatles,https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf,https://open.spotify.com/album/7vejatp3kgkspohvgwm3eh,rock/1-(remastered)-the-beatles.jpg
1984 (remastered),van-halen,https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed,https://open.spotify.com/album/3reuxdj5opkhudtrttcbu0,rock/1984-(remastered)-van-halen.jpg
20000 watt rsl - the midnight oil collection,midnight-oil,https://i.scdn.co/image/ab67616d0000b27318c8f4eca624b080ed00ba42,https://open.spotify.com/album/2h371tt3iivmqji0izcp0o,rock/20000-watt-rsl---the-midnight-oil-collection-midnight-oil.jpg
5150,van-halen,https://i.scdn.co/image/ab67616d0000b273def8994935a955331c21bc12,https://open.spotify.com/album/5ew5vog3pyyt9qupcrdizq,rock/5150-van-halen.jpg
a beautiful lie,thirty-seconds-to-mars,https://i.scdn.co/image/ab67616d0000b273a4f10a67aca8bf0eca668006,https://open.spotify.com/album/2jpmk6qqzuy5avkkzxmh7h,rock/a-beautiful-lie-thirty-seconds-to-mars.jpg
a day at the races (2011 remaster),queen,https://i.scdn.co/image/ab67616d0000b27307874b4761f46ddfe9398522,https://open.spotify.com/album/0qrlylrbup7egpemzvziaq,rock/a-day-at-the-races-(2011-remaster)-queen.jpg
a day at the races (deluxe edition 2011 remaster),queen,https://i.scdn.co/image/ab67616d0000b27367bc29c251c777361b17a190,https://open.spotify.com/album/4kzge18wzjbxl6jlw4kylc,rock/a-day-at-the-races-(deluxe-edition-2011-remaster)-queen.jpg
a fever you can't sweat out,panic!-at-the-disco,https://i.scdn.co/image/ab67616d0000b2730a8881b0d247346c3c447bf3,https://open.spotify.com/album/2yeohhjg3owpn0f1vypxtw,rock/a-fever-you-can't-sweat-out-panic!-at-the-disco.jpg
a new career in a new town (1977 - 1982),david-bowie,https://i.scdn.co/image/ab67616d0000b273a865ae815831c0c6a2493ab7,https://open.spotify.com/album/6dcviymxde8scd1u0fzi8j,rock/a-new-career-in-a-new-town-(1977---1982)-david-bowie.jpg
a night at the opera (2011 remaster),queen,https://i.scdn.co/image/ab67616d0000b273a461aa96bd9a8fcd0a492aee,https://open.spotify.com/album/1tszdcvlptanektaiti3qo,rock/a-night-at-the-opera-(2011-remaster)-queen.jpg
abbey road (remastered),the-beatles,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,https://open.spotify.com/album/0etfjactup2ado6lfhl6hn,rock/abbey-road-(remastered)-the-beatles.jpg
ace of spades (expanded edition),motörhead,https://i.scdn.co/image/ab67616d0000b273bb7d33186e4a26421c6a77ae,https://open.spotify.com/album/3rxf05aux0qtrn533kjc91,rock/ace-of-spades-(expanded-edition)-motörhead.jpg
adrenaline,zero-9:36,https://i.scdn.co/image/ab67616d0000b273453f76302fc330faf1ed69b2,https://open.spotify.com/album/1ycmkspzjmsf89tirryr4v,rock/adrenaline-zero-9:36.jpg
aerosmith,aerosmith,https://i.scdn.co/image/ab67616d0000b273b11078ee23dcd99e085ac33e,https://open.spotify.com/album/19lezsnccbvekkchopqwdz,rock/aerosmith-aerosmith.jpg
aerosmith's greatest hits,aerosmith,https://i.scdn.co/image/ab67616d0000b273cd8330aea6549a0d6207e22d,https://open.spotify.com/album/3vnth6evo3myusstaiatcy,rock/aerosmith's-greatest-hits-aerosmith.jpg
aftermath,the-rolling-stones,https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694,https://open.spotify.com/album/72qrnm4yunmddlwiqkc8iy,rock/aftermath-the-rolling-stones.jpg
again,black-stone-cherry,https://i.scdn.co/image/ab67616d0000b2735ae791d37f207cdda52698b9,https://open.spotify.com/album/5nfss70swqj4ywp5t6vywh,rock/again-black-stone-cherry.jpg
agents of fortune,blue-öyster-cult,https://i.scdn.co/image/ab67616d0000b2733ac318439ae56ce048d7bf5d,https://open.spotify.com/album/6c9wzlqaneod0gw5b41yjt,rock/agents-of-fortune-blue-öyster-cult.jpg
